,title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags
877,"The Quiet Revolutionaries : How the Grey Nuns Changed the Social Welfare Paradigm of Lewiston, Maine","From Routledge: ""The book recognizes the achievements by a nineteenth-century community of women religious, the Grey Nuns of Lewiston, Maine. The founding of their hospital was significant in its time as the first hospital in that factory city, and is significant today if one desires a more accurate and inclusive history of women and healthcare in America...""","Hudson, Susan Pearman ",Preview,Routledge,2006,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/62741377"">62741377</a>","19th century; Lewiston, Maine",,,,,,,,,,,186,"New York, New York",Routledge,,9780415978347,,,http://www.routledge.com/books/details/9780415978347;The Quiet Revolutionaries... @ Google Books,,,,,https://francolibrary.com/archive/files/a9f759e8cb622c5f4e4df6ef1e6e92f2.jpg,Androscoggin County ME;Auburn ME;Bath ME;Community: Customs and Social Life;Death and Disaster;Emigration and Immigration;Labor History;Lewiston ME;Maine;Manchester NH;Mills and Mill Work;Nonfiction;Nonfiction -- History -- Religion;Portland ME;QuÃ©bec;Religion;Sabattus ME
878,Ah les Ã‰tats! : Les travailleurs canadiens-francÌ§ais dans l'industrie textile de la Nouvelle-Angleterre d'apreÌ€s le teÌmoignage des derniers migrants,"Un portrait historique des travailleurs canadiens-franÃ§ais aux Ã‰tats-Unis, dans les usines de la Nouvelle-Angleterre, au prÃ©miere moitiÃ© du 20e siÃ¨cle. Les synthÃ¨ses historiques de l'immigration et du travail, avec certaines statistiques pertinentes. TeÌmoignages de ceux et celles qui ont travailleÌ aux Etats-Unis. Des breves discussions sur l'adaptation des immigrants au travail et la vie industrielle, Ã  la vie aux Ã‰tats-Unis, et sur les gens qui sont retournÃ©s au QuÃ©bec dans le 20e siÃ¨cle. Des tÃ©moignages - des histoires orales - de 1981 et 1982, des entrevues avec sept travailleurs canadiens-franÃ§ais qui a vÃ©cu les expÃ©riences dÃ©crites dans le rÃ©cit historique de l'auteur. IllustrÃ©e dans les photos noirs et blancs.","Rouillard, Jacques",,BoreÌal Express,1985,,fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/14129807"">14129807</a>",1830-1985; Nouvelle-Angleterre,,,,,,,,,,,155,"MontreÌal, QueÌbec",BoreÌal Express,,9782890521407,,,Ah les états! sur Google Books,,,,,https://francolibrary.com/archive/files/aff62eb6a4f14eae2ee476b91b41b740.jpg,Biddeford ME;Emigration and Immigration;Ethnicity and Collective Identity;Fall River MA;Family;Labor History;Lawrence MA;Lewiston ME;Lowell MA;Manchester NH;Manville RI;Mills and Mill Work;New England;Nonfiction;Nonfiction -- History -- General;Nonfiction -- History -- Labor and Social;Nonfiction -- Immigration;Personal History: Biography and Oral History;QuÃ©bec;Social History;Taunton MA;Ware MA
879,"Mantle of Blue : a half century of Marist apostolate, history of the Boston province, Society of Mary, United States of America, 1924-1974","A 50-year history of the Roman Catholic Society of Mary and Marist priests in Boston, Massachusetts.","Beaudoin, Lionel F. ",,Marist Fathers of Boston,1974,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/16774184"">16774184</a>","1924-1974; Boston, Massachusetts",,,,,,,,,,,380,"Boston, Massachusetts",Marist Fathers of Boston,,,,,Mantle of Blue... @ Google Books,,Mantle of Blue,,,https://francolibrary.com/archive/files/161c4311038e98a6a6fe3eaf21230146.jpg,Boston MA;Nonfiction;Nonfiction -- History -- Religion;Religion
880,History of the Catholic Church in the New England States : Volume 1,"Lengthy 1899 historical portrait of Roman Catholic dioceses in the New England states. Includes the archdiocese of Boston, the dioceses of Providence (Rhode Island), Portland (Maine), and Manchester (New Hampshire).","Byrne, William;Leahy, William Augustine;O'Donnell, Jason H. ;Finen, John E. ;McCoy, J.J. ;Dowling, A.;Young, Edmund J.A.;Michaud, John S.",Full text,The Hurd and Everts Company,1899,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/1236148"">1236148</a>",17th century-1899; New England,,,,,,,,,,,824,"Boston, Massachusetts",The Hurd and Everts Company,,,,,History of the Catholic Church... @ Google Books,,,,,https://francolibrary.com/archive/files/f117a19c97e4e46f21201564cfcfa4d1.jpg,Bangor ME;Biddeford ME;Boston MA;Brighton MA;Cambridge MA;Concord NH;Damariscotta Mills ME;Dorchester MA;Exploration and Colonization;Fall River MA;Gloucester MA;Government and Politics;Haverhill MA;Lawrence MA;Lowell MA;Manchester NH;Native Americans;New England;Nonfiction;Nonfiction -- History -- Religion;Pawtucket RI;Portland ME;Providence RI;Religion;Roxbury MA;South Boston MA;Waltham MA;War
881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,"Histoire de la Louisiane, et de la cession de cette colonie par la France aux EÌtats-Unis de l'AmeÌrique septentrionale, preÌceÌdeÌe d'un discours sur la constitution et le gouvernement des EÌtats-Unis",,"BarbeÌ-Marbois, FrancÌ§ois",,Imprimerie de Firmin Didot,1829,,FranÃ§ais,,,,Book,,,,,,,,FranÃ§ais,,,,,485,"Paris, France",Imprimerie de Firmin Didot,,,,,,,Histoire de la Louisiane,,,,Acadians;France;Government and Politics;Haiti;Louisiana;Mississippi;Native Americans;New Orleans LA;Newfoundland;United States;War
883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,La situation religieuse aux Ã‰tats-Unis : illusions et rÃ©alitÃ©s,Un histoire et critique de l'Ã©glise Catholique aux Ã‰tats-Unis du point de vue au tournant de siÃ¨cle d'un chercheur franÃ§ais.,"At, Jean Antoine",Preview,Arthur SavaeÌ€te,1905,,fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/49099459"">49099459</a>",19th century; Ã‰tats-Unis,,,,,,,,,,,62,"Paris, France",Arthur SavaeÌ€te,,,,,,,,,,,Community: Customs and Social Life;France;Government and Politics;Nonfiction;Nonfiction -- History -- Religion;Religion;United States
885,Histoire et geÌneÌalogie des Acadiens,"Gros anthologie en six tomes sur les gens acadiens. La premiÃ¨re partie est un histoire des peuples, et les autres parties sont diviseÌes par les sujets et geÌographies suivant: 2) Port-Royal, 3) Beaubassin, Grand-PreÌ, 4) Pisiguit, Cobequid, Chipoudy et Petitcoudiac, Cap-de-Sable et Pobomcoup, RivieÌ€re Saint-Jean, Ristigouche, 5) Plaisance, Ile Royale incluant Louisbourg, Ile Saint-Jean, 6) Iles Saint-Pierre et Miquelon, Iles-de-la-Madeleine, Bordeaux, Belle-Ile-en-Mer, Louisiane.","Arsenault, Bona",,LemeÌac,1978,"Jehn, Janet B.",fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/5619093"">5619093</a>",17e siÃ¨cle - 20e siÃ¨cle; Acadie; Canada; Louisiane,,,,,,FranÃ§ais,,,,,2645,"MontreÌal, QueÌbec",LemeÌac,,9780776150284,,,,,,,,https://francolibrary.com/archive/files/1b6dbb4a120c685a16b38447d9a21eb0.jpg,Acadians;Death and Disaster;Emigration and Immigration;Exploration and Colonization;Family;France;Genealogy;Government and Politics;Louisiana;Massachusetts;Mississippi River Valley;Native Americans;New Brunswick;Nonfiction;Nonfiction -- History -- General;Nova Scotia;Personal History: Biography and Oral History;Prince Edward Island;QuÃ©bec;St. Lawrence River Valley
886,"Factory Under the Elms : A History of Harrisville, New Hampshire, 1774-1969","Nearly two hundred years of history in a New Hampshire town. Harrisville's businesses and communities, the production of its farms, and the centrality of its mills. The economic, political, and social transformations of Harrisville laid out chronologically, with great emphasis on the impact of industry and immigration. From the author: ""This book describes the evolution of a small mill town in New England.""","Armstrong, John Borden",,MIT Press,1969,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/57351"">57351</a>","1774-1969; Harrisville, New Hampshire",,,,,,,,,,,320,"Cambridge, Massachusetts",,,9780262010313,,,http://mitpress.mit.edu/catalog/item/default.asp?tid=4700&ttype=2 ;Factory Under the Elms... @ Google Books,,,,,https://francolibrary.com/archive/files/651372cdc42a3b4343add04325f5347e.jpg,Business and Economics;Community: Customs and Social Life;Emigration and Immigration;Farming and Agriculture;Government and Politics;Harrisville NH;Labor History;Mills and Mill Work;New England;Nonfiction;Nonfiction -- History -- Economic and Industrial;Nonfiction -- History -- Local;Religion;Violence;War
887,Le franÃ§ais dans le New-Hampshire,De brÃ¨ves descriptions de la situation de la langue franÃ§aise dans les Ã©coles et les communautÃ©s - et de l'ameÌricanisation des canadiens-franÃ§ais - du New Hampshire et de la Nouvelle-Angleterre du XIXe siecle Ã  1919.,"BeaudeÌ, l'AbbeÌ Henri ",Texte intégral,Ligue de Ralliement FranÃ§ais en AmÃ©rique,1919,,fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/3124441"">3124441</a>",19e siÃ¨cle; New Hampshire,,,,,,,,,,,19,"MontreÌal, QueÌbec",Ligue de Ralliement FranÃ§ais en AmÃ©rique,,,,,Le français dans le New-Hampshire... sur HathiTrust;Le français dans le New-Hampshire... sur Google Books,,,,,https://francolibrary.com/archive/files/718b1c32f16767c70e664b11336f140c.jpg,Acadians;Acculturation and Assimilation;Boston MA;Clubs and Societies;Connecticut;Education;Government and Politics;Language and Linguistics;Manchester NH;MontrÃ©al QC;Nashua NH;New Hampshire;Nonfiction;Nonfiction -- Education;Nonfiction -- French in North America;Nonfiction -- History -- Local;Nonfiction -- Language and Linguistics;Religion;Woonsocket RI
888,Le franÃ§ais dans le Connecticut,De brÃ¨ves descriptions de la situation de la langue franÃ§aise dans les Ã©coles et les communautÃ©s - et de l'ameÌricanisation des canadiens-franÃ§ais - du Connecticut et de la Nouvelle-Angleterre du XIXe siecle Ã  1919.,"BeaudeÌ, L'AbbeÌ Henri;d'Arles, Henri",Texte intégral,Ligue de ralliement franÃ§ais en AmÃ©rique,1919,,fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/43582110"">43582110</a>;<a href=""http://www.worldcat.org/oclc/53680473"">53680473</a>",19 siÃ¨cle; Connecticut,,,,,,,,,,,15,,Ligue de ralliement franÃ§ais en AmÃ©rique,,,,,Le français dans le Connecticut sur Internet Archive;Le français dans le Connecticut sur Google Books,,,,,https://francolibrary.com/archive/files/97f020a7dc4593197f82ea8b131e59b3.jpg,Acculturation and Assimilation;Clubs and Societies;Community: Customs and Social Life;Connecticut;Ethnicity and Collective Identity;Government and Politics;Language and Linguistics;Nonfiction;Nonfiction -- Education;Nonfiction -- French in North America;Nonfiction -- History -- Local;Nonfiction -- Language and Linguistics;Religion
889,"Canadiens et AmÃ©ricains chez eux : journal, lettres, impressions d'une artiste franÃ§aise",Un texte par Armand Dupras (France Ariel est un pseudonyme) sur une tournÃ©e de concerts du trio musical Larrieu (de la France) aux Ã‰tats-Unis dans les annÃ©es 1910.,"Ariel, France;Dupras, Armand",Texte intégral,"Granger frÃ¨res, limiteÌe",1920,,fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/635873036"">635873036</a>",1916-1920; Ã‰tats-Unis,,,,,,,,,,,314,"MontreÌal, QueÌbec","Granger frÃ¨res, limiteÌe",,,,,http://catalog.hathitrust.org/Record/000316085;Canadiens et Américains... sur Google Books,,,,,,Canada;Emigration and Immigration;France;Music;Nonfiction;Nonfiction -- Journals and Letters;Nonfiction -- Music;Performing Arts;Personal History: Biography and Oral History;United States
890,We Americans : A Study of Cleavage in an American City,"Book-length 1937 demographic study of Burlington, Vermont - as a New England hub, as an American city in itself, and as a microcosm of American democracy. This book was a product of Vermont's 1930s Eugenics Survey that studied local demographics, and considered the use of concepts of race and class in their relationship to democratic society.The single largest immigrant group in Burlington at this time (1930s) was of French Canadian origin. From the text: ""The promise of American democracy is resident in the life of local communities....We must learn more about the character of life in local American communities.""","Anderson, Elin L. ",,Harvard University Press,1937,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/390309"">390309</a>","1930s; Burlington, Vermont",,,,,,,,,,,286,"Cambridge, Massachusetts",Harvard University Press,,,,,http://www.uvm.edu/~eugenics/anderson.html;We Americans... @ Google Books,,,,,,Acculturation and Assimilation;Burlington VT;Community: Customs and Social Life;Demography;Emigration and Immigration;Ethnicity and Collective Identity;Family;Geography;Government and Politics;Labor History;Language and Linguistics;Mills and Mill Work;Nonfiction;Nonfiction -- Demography;Religion;Sports and Leisure;United States;Vermont;Winooski VT
891,"Your Heritage; or, New England Threatened","Book length essay on assimilating French Canadian immigrants to Protestant New England, and an argument for their religious conversion. An expansion of Amaron's earlier pamphlet, ""The evangelization of the French Canadians of New England.""","Amaron, Rev. Calvin Elijah",Full text,French Protestant College,1891,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/3584163"">3584163</a>",19th century; Massachusetts; New England,,,,,,,,,,,203,"Springfield, Massachusetts",French Protestant College,,,,,Your Heritage... @ Internet Archive;Your Heritage... @ Google Books,,,,,,Acculturation and Assimilation;Education;Emigration and Immigration;Government and Politics;Journalism;Language and Linguistics;New England;Nonfiction;Nonfiction -- History -- Religion;Nonfiction -- Immigration;Religion
892,The Evangelization of the French Canadians of New England,"Pamphlet published by Massachusetts Protestant evangelist, Calvin Elijah Amaron, toward the assimilation of French Canadian immigrants through conversion from Catholicism. Later developed and published in book form: ""Your Heritage; or, New England Threatened."" ","Amaron, Rev. Calvin Elijah ",Full text,Campbell,1885,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/8068469"">8068469</a>",1875; Massachusetts; New England,,,,,,,,,,,15,"Lowell, Massachusetts",Campbell,,,,,The Evangelization of... @ Internet Archive;http://wquercus.com/acadie/evangelization.htm (related information);The Evangelization of... @ Google Books,,,,,,Acculturation and Assimilation;Emigration and Immigration;Massachusetts;New England;Nonfiction;Nonfiction -- History -- Religion;Nonfiction -- Immigration;Religion
893,Histoire de la paroisse de Saint-Denis-sur-Richelieu,"Une histoire complÃ¨te d'une paroisse catholique quÃ©bÃ©coise, de la VallÃ©e-du-Richelieu, jusqu'en 1905.","Allaire, Jean Baptiste Arthur",Texte intégral,Courrier de Saint-Hyacinthe,1905,,fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/11700111"">11700111</a>",17e siÃ¨cle-20e siÃ¨cle; QuÃ©bec,,,,,,,,,,,543,"Saint-Hyacinthe, QueÌbec",Courrier de Saint-Hyacinthe,,,,,Histoire de la paroisse... sur Nos Racines;Histoire de la paroisse... sur Google Books,,,,,https://francolibrary.com/archive/files/d4d837552d7e5eaac383dda58a2366cb.jpg,Death and Disaster;Education;Emigration and Immigration;Nonfiction;Nonfiction -- History -- Religion;QuÃ©bec;Religion;United States;War
894,How the Acadians Came to Maine,Chronological history of the Acadian people and their eventual settlement of communities in Maine. Begins in the early 1600s and chronicles events and migrations up to the early 20th century.,"Violette, Lawrence A.",,Self-published,1952,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/7520384"">7520384</a>",17th century-20th century; Maine,,,,,,,,,,,79,"Madawaska, Maine",Self-published,,,,,How the Acadians Came to Maine... @ Google Books,,,,,https://francolibrary.com/archive/files/5b437d999120369bb7b183434a66a48a.jpg,Acadians;Aroostook County ME;Emigration and Immigration;Geography;Madawaska ME;New Brunswick;Nonfiction;Nonfiction -- Immigration;Nova Scotia;St. John River Valley
895,An Acadian Heritage from the St. John River Valley,"Collection of newspaper articles, essays, and images in an illustration of Acadian cultural heritage at the US-Canada border. From the Madawaska Historical Society in the St. John River Valley of northern Maine.","Michaud, A.J.",,Valley Publishing Company,1972,Madawaska Historical Society,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/7979993"">7979993</a>","20th century; Saint John River Valley, Maine",,,,,,,,,,,87,"Madawaska, Maine",Valley Publishing Company,,,,,http://www.madawaskahistorical.org/historiography.html;An Acadian Heritage... @ Google Books,,,,,https://francolibrary.com/archive/files/92f60cb61387bc74f87f5e277fd44860.jpg,Acadians;Aroostook County ME;Folklore;Food;Journalism;Language and Linguistics;Madawaska ME;Maine;Nonfiction;Nonfiction -- French in North America;Nonfiction -- History -- Local;St. John River Valley
896,Historic Lewiston : Franco-American Origins,"The first book in a series on the history of Lewiston, Maine, Historic Lewiston, from the Lewiston Historical Commission. Historic Lewiston: Franco-American Origins is a 47-page overview of Lewiston’s Franco American past, divided into two parts. Part one focuses on the prevalence of social organizations, the plethora of Lewiston/Auburn Roman Catholic churches, and the work-a-day normalcy of nearly two centuries of French in Lewiston. Part two is a building survey, dedicated specifically to Franco-American architecture, giving one an artistic glimpse into the Lewiston buildings of old that have been retained only in part up to the present day. Contains a variety of photographs and other images.  Contents: Preface 1. Lewiston's Franco-Americans: Their Origins and Early History 2. Little Canada and Vicinity: A Building Survey","Leamon, James S.
;Michaud, Charlotte",Full text,Central Maine Vocational Technical Institute,1974,"Barrows, Gridley (photographs);Chapman, Keith (layout);Hayden, David J. (press);Janelle, Adelard (assistant, Chapter 1);Nadeau, Donat (halftones);Lewiston Historical Commission",English,,,,Book,"<a href=""http://www.worldcat.org/oclc/3531925"">3531925</a>","19th century - 20th century; Lewiston, Maine",,,,,,,,,,,47,"Auburn, Maine",Central Maine Vocational Technical Institute,,,,,http://www.lewistonmaine.gov/DocumentCenter/Home/View/1190;Historic Lewiston: Franco-American Origins @ Google Books,,,,,https://francolibrary.com/archive/files/92cad300cff0b92fb2e015c742a0c39b.jpg,Art and Architecture;Auburn ME;Community: Customs and Social Life;Emigration and Immigration;Family;Folklore;Government and Politics;Journalism;Labor History;Language and Linguistics;Lewiston ME;Mills and Mill Work;Nonfiction;Nonfiction -- History -- Local;Religion
897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,"The French in North America, 1500-1783","Previously published under the title ""France in America."" From Fitzhenry and Whiteside, publishers: ""This vivid account of the crucial role played by the French in the Western Hemisphere chronicles the rise and fall of the French empire on the mainland of North America and the West Indies, from the arrival of the Breton, Norman and Basque fishermen on the Grand Banks around 1500 to the sale of Louisiana to the United States in 1803. Professor Eccles depicts the establishment of Baroque civilization and the attempt of the establishment of industries and commerce from the slave plantations of the south to the fur trade posts of the far northwest, and discusses the colonists of other European powers. ""","Eccles, W.J.",,"Fitzhenry & Whiteside Limiited, Publishers",1998,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/39664550"">39664550</a>",1500-1803; North America,,,,,,,,,,,331,"Markham, Ontario",Fitzhenry & Whiteside Limiited,,9781550410761,,,http://www.fitzhenry.ca/detail.aspx?ID=8983;The French in North America... @ Google Books,,,,,https://francolibrary.com/archive/files/448d50376e56f89071cc7dc914bf8907.jpg,Acadians;Albany NY;Canada;Exploration and Colonization;Farming and Agriculture;Forestry;France;Fur-trading;Great Britain;Haiti;Hudson Bay;Illinois;La Beauce QC;Louisiana;MontrÃ©al QC;Native Americans;Nonfiction;Nonfiction -- French in North America;Nonfiction -- History -- General;Nova Scotia;Ottawa ON;QuÃ©bec;Religion;St. Lawrence River Valley;Toronto ON;War
899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Chez nos freÌ€res les Acadiens : Notes d'histoire et impressions de voyage,"De l'intro, ""aux Lecteurs,"" eÌcrit par Emile Dubois: ""Au cours des vacances de 1918, en compagnie de M. l'abbe Edmond Lacroix, je faisais un seÌjour d'un mois au pays d'Evangeline. Au jour le jour, a mesure que je visitais les endroits illustreÌs par le colon francais, et que, grace aux historiens Rameau et Casgrain, se deÌroulaient sous mes yeux l'histoire du peuple martyr, je jetais sur le papier des notes et des impressions. Les pages qui suivent sont le fruit de ces lectures et de ce voyage.""","Dubois, EÌmile",Texte intégral,BibliotheÌ€que de l'Action francÌ§aise,1920,,fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/3032072"">3032072</a>",1918; Acadie,,,,,,,,,,,176,"MontreÌal, QueÌbec",BibliotheÌ€que de l'Action francÌ§aise,,,,,http://www.nosracines.ca/f/toc.aspx?id=1538;Chez nos frères les Acadiens... sur Google Books,,,,,,Acadians;Boston MA;Canada;Community: Customs and Social Life;Death and Disaster;Emigration and Immigration;Lawrence MA;Native Americans;New Brunswick;Nonfiction;Nonfiction -- Travel and Tourism;Nova Scotia;Prince Edward Island;QuÃ©bec;St. John River Valley
901,"Farm to Factory : Women's Letters, 1830-1860","From Columbia University Press: ""Between 1820 and 1860, tens of thousands of single women streamed from rural New England to find work in the burgeoning factory towns of the region. In 'Farm to Factory' Thomas Dublin has selected five sets of letters in order to provide a personal view of the first generation of American women employed for wages outside their own homes. The letters he has selected provide a unique perspective on early industrial capitalism and its effects on women.""","Dublin, Thomas (editor)",Preview (2nd edition),Columbia University Press,1981 (1993),,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/7203495"">7203495</a>",1830-1860; New England,,,,,,,,,,,191,"New York, New York",Columbia University Press,,9780231051194,,,http://cup.columbia.edu/book/978-0-231-08157-3/farm-to-factory;Farm to Factory... @ Google Books,,,,,https://francolibrary.com/archive/files/34cbf24e1de8e692086055c4b79da18d.jpg,Business and Economics;Emigration and Immigration;Family;Farming and Agriculture;Gender and Sexuality;Haverhill MA;Labor History;Lowell MA;Manchester NH;Massachusetts;Merrimack River Valley;Mills and Mill Work;Nashua NH;New England;Newbury VT;Nonfiction;Nonfiction -- History -- Labor and Social;Personal History: Biography and Oral History;Rochester NH;Social History;Vermont
902,Democracy and Assimilation : The Blending of Immigrant Heritages in America,"An early immigrant history of the United States with a particular emphasis on the impact of World War I, and with a heavy reliance on United States marriage statistics. Drachsler evaluates the cultural and economic impacts of foreign immigration to the United States, examines immigrant community life, and proposes new measures in public policy.","Drachsler, Julius",Full text,The Macmillan Company,1920,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/557403"">557403</a>",19th century-20th century; United States,,,,,,,,,,,275,"New York, New York",The Macmillan Company,,,,,Democracy and assimilation... @ Google Books,,,,,https://francolibrary.com/archive/files/2b5cacb8eb84137d4ecbc74d2963fb74.jpg,Acculturation and Assimilation;Austria;Demography;Emigration and Immigration;Ethnicity and Collective Identity;Family;Genealogy;Government and Politics;Hungary;Italy;Jewish Americans;Language and Linguistics;Nonfiction;Nonfiction -- Immigration;United States
903,Les parcours de l'histoire : Hommage aÌ€ Yves Roby,"Recuil d'essaies en l'honneur d'Yves Roby, un historien quÃ©bÃ©cois, par ses collÃ¨gues et ses anciens Ã©tudiants. Des Ã©tudes sur les sujets importants de la carriÃ¨re de Roby: l'historiographie; ""les espaces quÃ©becois et franco-amÃ©ricains;"" l'immigration. Des Presses de l'UniversitÃ© Laval: ""De son premier ouvrage sur les Caisses populaires Ã  ses recherches sur l'Ã©volution du discours franco-amÃ©ricain, en passant par ses travaux sur les relations canado-amÃ©ricaines, [Roby] s'est attachÃ© Ã  saisir les relations qui existent entre deux conceptions relevant, chacune Ã  leur maniÃ¨re, de l'espace et du temps : les champs thÃ©matiques - ceux de l'Ã©conomie, du social, des idÃ©ologies, du politique - et les terrains d'enquÃªte recouvrant des aires gÃ©ographiques, notamment celles du QuÃ©bec et des Ã‰tats-Unis....""","Frenette, Yves (rÃ©dacteur);PaÌ‚quet, Martin (rÃ©dacteur);Lamarre, Jean (rÃ©dacteur)",Texte intégral,Presses de l'UniversiteÌ Laval,2002,"AubÃ©, Mary Elizabeth;Louder, Dean;Mathieu, Jacques;Morency, Jean;Ouellet, Nelson;Perin, Roberto;Poulin, Pierre;Rodrigue, Barry;Sanfilippo, Matteo;SÃ©nÃ©cal, AndrÃ©;St-Hilaire, Marc;Violette, Brigitte;Voisine, Nive;Weil, FranÃ§ois;Willis, John",fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/50236360"">50236360</a>",20e siÃ¨cle-21e siÃ¨cle; QuÃ©bec; Nouvelle-Angleterre,,,,,,,,,,,368,"QueÌbec, QueÌbec",Presses de l'UniversiteÌ Laval,,276377878X,,,http://www.erudit.org/livre/CEFAN/2002-2/index.htm;Les parcours de l'histoire... sur Google Books,,,,,https://francolibrary.com/archive/files/3de60d26beaeb40bd1635928b2f7dda4.jpg,Business and Economics;Criticism and Review;Emigration and Immigration;Essay;Fall River MA;Lewiston ME;Maine;Massachusetts;MontrÃ©al QC;New England;New York;Nonfiction;Nonfiction -- Anthology;QuÃ©bec;Religion;Social History
904,"Women at Work : The Transformation of Work and Community in Lowell, Massachusetts, 1826-1860","From Columbia University Press: ""In this prize-winning study, Thomas Dublin explores, in carefully researched detail, the lives and experiences of the first generation of American women to face the demands of industrial capitalism. Dublin describes and traces the strong community awareness of these women from Lowell [Massachusetts] and relates it to labor protest movements of the 1830s and â€˜40s.""","Dublin, Thomas",Preview,Columbia University Press,1979,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/4805234"">4805234</a>","1826-1860; Lowell, Massachusetts",,,,,,,,,,,312,"New York, New York",Columbia University Press,,9780231041676,,,http://cup.columbia.edu/book/978-0-231-04167-6/women-at-work;Women at Work... @ Google Books,,,,,https://francolibrary.com/archive/files/871a5d18c4fb519104c0ed4f2f44b00b.jpg,Boston MA;Business and Economics;Community: Customs and Social Life;Demography;Family;Gender and Sexuality;Great Britain;Labor History;Lawrence MA;Lowell MA;Massachusetts;Merrimack River Valley;Mills and Mill Work;New Hampshire;Nonfiction;Nonfiction -- History -- Economic and Industrial;Nonfiction -- History -- Labor and Social;Personal History: Biography and Oral History;Social History;Waltham MA
905,Transforming Women's Work : New England Lives in the Industrial Revolution,,"Dublin, Thomas",Preview,Cornell University Press,1994,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/29255277"">29255277</a>",1820-1900; New England,,,,,,,,,,,324,"Ithaca, New York",Cornell University Press,,9780801428449,,,http://www.cornellpress.cornell.edu/cup_detail.taf?ti_id=2260;Transforming Women's Work... @ Google Books,,,,,https://francolibrary.com/archive/files/4fe68182fa965c80eeb9c3619b4297cd.jpg,Boston MA;Business and Economics;Connecticut;Demography;Education;Fall River MA;Family;Fitzwilliam NH;Forestry;Gender and Sexuality;Government and Politics;Griswold CT;Hallowell ME;Haverhill MA;Labor History;Lowell MA;Lynn MA;Maine;Massachusetts;Mills and Mill Work;New England;New Hampshire;Nonfiction;Nonfiction -- History -- Economic and Industrial;Nonfiction -- History -- Labor and Social;Rhode Island;Richmond NH;Salem MA;Sutton NH;Vermont
906,"North of America : Images of Canada in the Literature of the United States, 1775-1900",,"Doyle, James",,ECW Press,1983,,English,,,,Book,,,,,,,,English,,,,,185,"Toronto, Ontario",ECW Press,,0920802842,,,http://www.ecwpress.com/biographies/james_doyle,,North of America,,,,Acadians;Canada;Criticism and Review;Literary Works -- Criticism and History;Native Americans;New England;Nova Scotia;Poetry;QuÃ©bec;Religion;St. Lawrence River Valley;United States
