,title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags
45,"Canadiens, Acadiens, and Canada : Knowledge and Ethnicity in Labour History",Essay on the relevance of French Canadian immigrant workers in the United States to the history of Canadian labor.  The persistence of an emigrant French Canadian national identity in the United States; convergences of ethnic and class identities.,"Ferland, Jacques",,,2002 Fall,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/317511047"">317511047</a>",1850-1950; Canada; New England,,,,,,,,,,,,,,0700-3862,,,Labour/Le Travail,http://www.historycooperative.org/journals/llt/50/ferland.html (full text available here),50,,,,https://francolibrary.com/archive/files/69d688bd42433b4bc178d78d48e3eebe.jpg,Biddeford ME;Chicopee MA;Community: Customs and Social Life;Emigration and Immigration;Ethnicity and Collective Identity;Fall River MA;Fitchburg MA;Holyoke MA;Labor History;Lowell MA;Marlboro MA;New Bedford MA;Nonfiction;Nonfiction -- History -- Labor and Social;Nonfiction -- Immigration;North Adams MA;Plainfield CT;QuÃ©bec;Salem MA;Southbridge MA;Suncook NH;Ware MA;Woonsocket RI
46,Une communautÃ© franco-amÃ©ricaine dans l'Etat de New York : une Ã©tude prÃ©liminaire sur le franÃ§ais Ã  Cohoes,"Un bref essai sur la persistance au vingtiÃ¨me siÃ¨cle de la langue et la culture francophone Ã  Cohoes, New York.","Fox, Cynthia A.",Texte intégral,,1993,,fr,,,,Journal article,"<a href=""http://www.worldcat.org/oclc/232493413"">232493413</a>","1900-1990; Cohoes, New York",,,,,,,,,,,,,,1710-1158,,,Francophonies d'AmÃ©rique,http://francophoniesdamerique.uottawa.ca/fa3.html;http://www.erudit.org/revue/fa/1993/v/n3/index.html,3,,,,https://francolibrary.com/archive/files/818944afda97d9ce15962480c63d876b.jpg,Acculturation and Assimilation;Cohoes NY;Demography;Emigration and Immigration;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics;Religion
47,"On Maintaining a Francophone Identity in Cohoes, NY","From the author: ""One third of the population of Cohoes, New York, is descended from French-Canadians who immigrated to the northeastern United States between 1840 and 1930. Since the end of immigration, the close-knit community centered on the French parish has undergone profound changes and French has ceased to be the language of everyday communication among its members. This paper describes the characteristic behaviors and attitudes which set the remaining Cohoes French speakers off as a group from other minority language communities and help them maintain their francophone identity.""","Fox, Cynthia A.",,,1995-12,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/481676277"">481676277</a>","1990s; Cohoes, New York",,,,,,,,,,,,,,0016-111X,,#2,The French Review,http://www.jstor.org/stable/397917,69,,,,https://francolibrary.com/archive/files/96b7f2e87d236bbb11e0c0d6a1d66666.jpg,Acculturation and Assimilation;Cohoes NY;Community: Customs and Social Life;Demography;Emigration and Immigration;Ethnicity and Collective Identity;Hudson River Valley;Language and Linguistics;Mohawk River Valley;Nonfiction;Nonfiction -- Language and Linguistics;Personal History: Biography and Oral History
48,La variation rÃ©gionale en franÃ§ais franco-amÃ©ricain : les formes verbales Ã  la troisieme personne du pluriel,"Du l'auteur: ""Cet article prÃ©sente les rÃ©sultats dâ€™une Ã©tude des formes verbales Ã  la troisiÃ¨me personne du pluriel dans le franÃ§ais parlÃ© Ã  Gardner, Massachusetts. Nous commenÃ§ons par un survol historique de cette communautÃ© franco-amÃ©ricaine. Nous passons ensuite Ã  une description de notre mÃ©thodologie. Enfin, la quantification des donnÃ©es nous permet de dÃ©gager des tendances gÃ©nÃ©rales quant Ã  la distribution de ces formes.""","Fox, Cynthia A.",Texte intégral,,2006,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/233598733"">233598733</a>","1865-2006; Gardner, Massachusetts",,,,,,,,,,,,,,1481-868X,,#2,Canadian Journal of Applied Linguistics,http://www.aclacaal.org/Revue/vol-9-no2-art-fox.pdf (le texte en plein),9,,,,https://francolibrary.com/archive/files/2a8ee79b355a5a7840f5528ab133d636.jpg,Berlin NH;Biddeford ME;Bristol CT;Brunswick ME;Cohoes NY;Community: Customs and Social Life;Demography;Emigration and Immigration;Franklin VT;Gardner MA;Greenville NH;Highgate VT;Language and Linguistics;Lewiston ME;Manchester NH;New Brunswick;New England;Nonfiction;Nonfiction -- Language and Linguistics;Nova Scotia;QuÃ©bec;Rumford ME;Southbridge MA;Van Buren ME;Waterville ME;Woonsocket RI
49,Franco-American Voices : French in the Northeastern United States Today,"From the author: ""This paper describes the current situation of Franco-American French. The discussion is based on interviews with 275 speakers from eight communities: Van Buren, Waterville, and Biddeford, Maine, Berlin, New Hampshire, Southbridge and Gardner, Massachusetts, Bristol, Connecticut, and Woonsocket, Rhode Island. Our analysis confirms that French has not been transmitted to the youngest generations and that its domains of use are highly restricted. Nevertheless, the majority of speakers still use the language often (18%) if not daily (44%). Our findings suggest that French still plays a central role in the lives of its speakers despite their decreasing numbers.""","Fox, Cynthia A.",,,2007-05-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/137573877"">137573877</a>",2000-2007; New England,,,,,,,,,,,,,,0016-111X,,#6,The French Review,http://cat.inist.fr/?aModele=afficheN&cpsidt=18800120,80,,,,https://francolibrary.com/archive/files/69e4e898f85cba446804d2ca5ff72fc4.jpg,Berlin NH;Biddeford ME;Bristol CT;Community: Customs and Social Life;Emigration and Immigration;Gardner MA;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics;Southbridge MA;Van Buren ME;Waterville ME;Woonsocket RI
50,Recherches en cours sur le franÃ§ais franco-amÃ©ricain,"De Glottopol, la revue de sociolinguistique en ligne: ""Jane Smith et Cynthia Fox font le point sur les analyses qu'elles ont dÃ©jÃ  produites jusqu'ici, notamment la situation du franco-amÃ©ricain Ã  l'heure actuelle, l'implantation des dialectes franco-canadiens et acadiens et le maintien ou la perte de leurs traits d'origine ; les consÃ©quences linguistiques du contact avec l'anglais et de l'emploi rÃ©duit du franÃ§ais ; et enfin le franco-amÃ©ricain Ã  l'intÃ©rieur du dynamisme du franÃ§ais nord-amÃ©ricain.""","Fox, Cynthia A.;Smith, Jane S.",Texte intégral,,2007-01,,fr,,,,Journal article,"<a href=""http://www.worldcat.org/oclc/643755913"">643755913</a>",20e siÃ¨cle; Nouvelle-Angleterre,,,,,,,,,,,,,,,,,Glottopol: Revue de sociolinguistique en ligne,http://www.univ-rouen.fr/dyalang/glottopol/numero_9.html (le texte en plein),9,,,,https://francolibrary.com/archive/files/fbf2bc698b077db71fc84bed53f13fce.jpg,Acadians;Acculturation and Assimilation;Berlin NH;Biddeford ME;Bristol CT;Demography;Ethnicity and Collective Identity;Gardner MA;Gender and Sexuality;Language and Linguistics;New England;Nonfiction;Nonfiction -- Language and Linguistics;Southbridge MA;Van Buren ME;Waterville ME;Woonsocket RI
51,L'identitÃ© franco-amÃ©ricaine : tendances actuelles dans le sud de la Nouvelle-Angleterre,"De Fox, Fortin, Martin, et Stelling: ""Le terme Â«franco-amÃ©ricainâ€‰Â» sâ€™emploie pour dÃ©signer les immigrants canadiens arrivÃ©s au nord-est des Ã‰tats-Unis pendant une pÃ©riode sâ€™Ã©talant de 1840 Ã  1930. Catholiques et francophones, ils y ont Ã©tabli des communautÃ©s resserrÃ©es et un rÃ©seau dâ€™institutions religieuses, scolaires et sociales afin de maintenir leur religion, leur langue, et leur mode de vie traditionnel. Cependant, lâ€™Ã©volution rapide quâ€™a connue ce groupe depuis les soixante derniÃ¨res annÃ©es a dÃ©clenchÃ© un dÃ©bat sur sa dÃ©finition : comment les Franco-AmÃ©ricains se caractÃ©risent-ils actuellementâ€‰? Partagent-ils encore une identitÃ© communeâ€‰? La prÃ©sente Ã©tude cherche Ã  contribuer Ã  la discussion en se servant de tÃ©moignages oraux provenant dâ€™entretiens sociolinguistiques rÃ©alisÃ©s auprÃ¨s de 130 habitants de quatre villesâ€‰: Woonsocket (Rhode Island), Southbridge et Gardner (Massachussetts) et Bristol (Connecticut). Deux analyses quantitatives de ces donnÃ©es nous permettent dâ€™obtenir une vue dâ€™ensemble de la question identitaire. Puis, nous nous penchons sur les particularitÃ©s de chaque communautÃ© dans une sÃ©rie dâ€™analyses qualitatives. La synthÃ¨se de ces diffÃ©rentes analyses nous permet de constater que les quatre communautÃ©s connaissent un processus dâ€™assimilation dont le rythme et les caractÃ©ristiques diffÃ¨rent considÃ©rablement dâ€™une communautÃ© Ã  lâ€™autre. MÃªme si un grand nombre d'entre-eux utilisent toujours l'Ã©tiquette franco-amÃ©ricaine pour se dÃ©crire, les Franco-AmÃ©ricains se limitent dÃ©sormais Ã  une conception identitaire qui Ã©volue au sein de leur propre communautÃ© sans rÃ©fÃ©rence Ã  une culture supra-communautaire.""","Fox, Cynthia A.;Fortin, GeneviÃ¨ve;Martin, VÃ©ronique;Stelling, Louis",Texte intégral,,2007-01,,en; fr,,,,Article journal,"<a href=""http://www.worldcat.org/oclc/365012401"">365012401</a>",1940-2007; New England,,,,,,,,,,,,,,0007-7720,,#1,Canadian Review of American Studies,http://utpjournals.metapress.com/content/q2p24m84367h1n43/?a=9,37,,,,https://francolibrary.com/archive/files/fe06f9777d8b3239c62a6cd8d7300927.jpg,Acculturation and Assimilation;Bristol CT;Community: Customs and Social Life;Demography;Gardner MA;Language and Linguistics;New England;Nonfiction;Nonfiction -- Language and Linguistics;Personal History: Biography and Oral History;Southbridge MA;Woonsocket RI
52,Michigan's Habitant Heritage,"Tricentennial commemorative issue of the FCHS Journal in celebration of Michigan's habitant history. Contains pictures, copies of original written documents, brief articles, biographies, genealogies, etc.","French-Canadian Heritage Society of Michigan;Moreau, Gail",,,2001 January,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/317154052"">317154052</a>","1800-2001, Michigan",,,,,,,,,,,,,,,,#1,Journal of the French-Canadian Heritage Society of Michigan,http://fchsm.habitant.org/,22,,,,,Community: Customs and Social Life;Forestry;France;Fur-trading;Michigan;Native Americans;QuÃ©bec
53,"La genÃ¨se d'une communautÃ© canadienne-franÃ§aise en Nouvelle-Angleterre : Lewiston, Maine, 1800-1880","AdaptÃ© d'une plus longe forme (1988). D'Erudit: ""Le prÃ©sent article a pour sujet la genÃ¨se d'une communautÃ© canadienne-franÃ§aise en Nouvelle-Angleterre, celle de Lewiston, Maine, avant 1880. L'auteur dÃ©crit d'abord la localitÃ© Ã  la veille de l'arrivÃ©e des premiers Canadiens franÃ§ais en I860, s'attardant plus particuliÃ¨rement aux bouleversements causÃ©s par la RÃ©volution industrielle, qui fit de Lewiston un des plus importants centres textiles des Ã‰tats-Unis. Il explique ensuite la nature des migrations canadiennes-franÃ§aises au 19e siÃ¨cle, et le rÃ´le de premier plan qu'y jouaient la famille et la parentÃ©. De fait, la famille Ã©tait la cellule de base de la communautÃ© ethnique en formation. L'Ã©conomie familiale caractÃ©risait les mÃ©nages nuclÃ©aires et se tissÃ¨rent entre ceux-ci et les manufactures de coton des liens Ã©troits et complexes. La parentÃ© aussi avait des fonctions Ã©conomiques, sociales et psychologiques, facilitant l'adaptation des migrants dans leur nouveau milieu, un milieu oÃ¹ les conditions d'existence Ã©taient trÃ¨s prÃ©caires. De cette masse de paysans devenu ouvriers Ã©mergea une petite-bourgeoisie composÃ©e d'hommes d'affaires, de professionnels et de prÃªtres. Ces hommes utilisÃ¨rent leur pouvoir pour intensifier le sentiment religieux de leurs coreligionnaires et pour tenter d'instiller en eux l'idÃ©ologie de la survivance culturelle. Certains prirent leur distance de la masse des migrants, alors que d'autres, le curÃ© et les professionnels notamment, travaillÃ¨rent Ã  la crÃ©ation d'un rÃ©seau institutionnel centrÃ© sur la paroisse, contribuant ainsi thnique sur des fondations solides et Ã  transformer les migrants en immigrants.""","Frenette, Yves",,,1989,,fr,,,,Journal article,"<a href=""http://www.worldcat.org/oclc/28280811"">28280811</a>","1800-1880; Lewiston, Maine",,,,,,,,,,,,,,,,#1,Historical Papers/Communications historiques,http://www.erudit.org/revue/hp/1989/v24/n1/030997ar.pdf (le texte en plein),24,,,,https://francolibrary.com/archive/files/a037722f62cc2044312829f4544cafd6.jpg,Community: Customs and Social Life;Emigration and Immigration;Ethnicity and Collective Identity;Family;Labor History;Lewiston ME;Mills and Mill Work;Nonfiction;Nonfiction -- History -- Labor and Social;Nonfiction -- History -- Local;QuÃ©bec;Social History
54,"Les ""Petits Canadas"" de la Nouvelle-Angleterre","De l'auteur: ""La communautÃ© franco-amÃ©ricaine de Nouvelle-Angleterre, ou Â«communautÃ© francoÂ», est relativement mÃ©connue en France. Lâ€™action quâ€™elle conduit pour faire reconnaÃ®tre son identitÃ© au sein de la rÃ©gion qui lâ€™accueille offre pourtant un tÃ©moignage remarquable de ses capacitÃ©s de survivance -  son Â« rÃ©veil Â» actuel atteste en outre de la maturitÃ© et de lâ€™ouverture de la sociÃ©tÃ© amÃ©ricaine dâ€™aujourdâ€™hui qui, aprÃ¨s avoir perÃ§u comme une menace la prÃ©sence franco, lâ€™accepte maintenant avec fiertÃ© et reconnaissance. Au XXIe siÃ¨cle, il y a un avenir pour le fait franÃ§ais en Nouvelle- Angleterre, il y a une place, nous disent aussi les AmÃ©ricains, pour la diversitÃ© culturelle au service de la cohÃ©sion nationale.""","Gauthier, Francois",,,2010-07-00,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/8797804"">8797804</a>",1900-2010; Nouvelle-Angleterre,,,,,,,,,,,,,,0750-9278,,,Revue des deux mondes,http://www.revuedesdeuxmondes.fr,,,,,,Acadians;Acculturation and Assimilation;Aroostook County ME;Biddeford ME;Boston MA;Brunswick ME;Calais ME;Castine ME;Community: Customs and Social Life;Connecticut River Valley;Demography;Education;Emigration and Immigration;Ethnicity and Collective Identity;Fort Kent ME;Labor History;Language and Linguistics;Lewiston ME;Lowell MA;Manchester NH;Merrimack River Valley;Mills and Mill Work;Montpelier VT;MontrÃ©al QC;Mt. Desert Island ME;New Bedford MA;New Brunswick;Nonfiction;Nonfiction -- French in North America;Nonfiction -- History -- Labor and Social;Religion;Saco River Valley;Southbridge MA;St. John River Valley;Violence;Woonsocket RI
55,"From Octave CrÃ©mazie to Victor-LÃ©vy Beaulieu : Language, Literature, and Ideology",An exploration of the debates within the QuÃ©bec literary community regarding the function of literature as a language tool. A discussion about joual and the French language in QuÃ©bec from the 1960s onward.,"Gauvin, Lise;Henderson, Emma (translator)",,,1983,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/482387950"">482387950</a>","1960-1983, QuÃ©bec",,,,,,,,,,,,,,0044-0078,,#65,Yale French Studies,http://www.jstor.org/stable/2930037,,,,,,Criticism and Review;Essay;Fiction and Literature;Government and Politics;Language and Linguistics;Literary Works -- Criticism and History;Poetry;QuÃ©bec
56,"The Mobilization of the Working Class Community : The Independent Textile Union in Woonsocket, 1931-1946","A period history of a Belgian and Franco-American independent textile union in the mills of Woonsocket, Rhode Island, and the impact of this sort of independent worker organization on the ethnic communities of that city. ""What follows,"" says the author, ""is a summary of the ITU's appearance, development, success, and decline.""","Gerstle, Gary",,,1978 April,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/45456839"">45456839</a>","1931-1946; Woonsocket, Rhode Island",,,,,,,,,,,,,,1534-1453,,#17,Radical History Review,http://rhr.dukejournals.org/content/1978/17/161.full.pdf+html,,,,,https://francolibrary.com/archive/files/04b2cec868239cd041bf6aa28e73d394.jpg,Belgium;Business and Economics;Community: Customs and Social Life;Government and Politics;Labor History;Mills and Mill Work;Nonfiction;Nonfiction -- History -- Labor and Social;QuÃ©bec;War;Woonsocket RI
57,"Liberty, Coercion, and the Making of Americans","From the author: ""In this essay, I test the CrÃ¨vecoeurian myth of Americanization against the rich body of work produced by historians and other students of European immigration in the twentieth century. The myth consists of four distinct claims: first, that European immigrants wanted to shed their Old World ways and to become American, second, that Americanization was quick and easy because the immigrants found no significant obstacles thrown in their path, third, that Americanization 'melted' the immigrants into a single race, culture, or nation, unvarying across space and time, and fourth, that immigrants experienced Americanization as emancipation from servitude, deference, poverty, and other Old World constraints....I focus on literature generated since World War I on European immigration from 1880 to 1920, the era of the so-called new immigrants.""","Gerstle, Gary",,,1997-09,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/35782298"">35782298</a>",1880-1920; United States,,,,,,,,,,,,,,0021-8723,,#2,The Journal of American History,http://www.jstor.org/stable/2952569,84,,,,https://francolibrary.com/archive/files/aefce3e1e03a5daa21cbacdf9a3d587a.jpg,Acculturation and Assimilation;Austria;Boston MA;Bulgaria;Chicago IL;Emigration and Immigration;England;Ethnicity and Collective Identity;Europe;Germany;Government and Politics;Greece;Hungary;Ireland;Italy;Jewish Americans;Lithuania;New York NY;Nonfiction;Nonfiction -- Immigration;Poland;Portugal;QuÃ©bec;United States;War;Woonsocket RI;Yugoslavia
58,French Canada's Search for a Homeland : A Literary Perspective,"Gill explores French Canadian societies through the lens of its literatures, particularly those coming from Quebec. He introduces his efforts with a brief illustration of the rise and fall of New France, where he claims that French Canadians have been left in a position of political defeat (whether or not they choose to accept it as such) for almost two centuries, and thus in a constant struggle for survival through the establishment of a political homeland. Up until recently, says Gill, the French Canadian search for such a home has been bolstered by the linguistic, religious, and otherwise cultural principles of ""la survivance,"" and has been crucial to the persistence of Francophone Quebec. Oftentimes, as Gill will also point out, ""la survivance"" has been trumped more confidently by a ""rayonnement,"" or a principal desire to spread one's own culture. We these ideas in mind, Gill traces the French Canadian experiences of political defeat and cultural persistence - the search for and development of a ""homeland"" - through their telling literatures. We see a fallen New France and a rising Quebec through images in fiction.","Gill, Robert M.",,,1978 Autumn,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/60621291"">60621291</a>","1600-1970, Quebec in literature",,,,,,,,,,,,,,1943-9954,,#2,American Review of Canadian Studies,http://www.acsus.org,8,,,,,Acculturation and Assimilation;Canada;Criticism and Review;Ethnicity and Collective Identity;Exploration and Colonization;Farming and Agriculture;Fiction and Literature;France;Fur-trading;Government and Politics;Literary Works -- Criticism and History;New England;QuÃ©bec;Religion;War
59,Resources for the Teaching of Franco-American Culture,"Essay encouraging the French language teachers in the US - primarily in the Northeast and Lousiana - to ""raise their 'cultural consciousness'"" of the Franco cultural heritage populations in which they potentially teach. A brief layout of accessible resources on Franco-American history, language, culture, and the curricula designed to teach them. Brief annotations of a short list of texts; a list of local organizations; some suggestions for class exercises.","Hagel, Phyllis L.",,,1978 April,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/479328343"">479328343</a>","1970s, New England, New York, Louisiana",,,,,,,,,,,,,,0026-7902,,#4,The Modern Language Journal,http://www.jstor.org/stable/324353,62,,,,,Education;Ethnicity and Collective Identity;Language and Linguistics;Louisiana;New England;Nonfiction;Nonfiction -- Education
60,The Library of the Association Canado-AmÃ©ricaine,"A description of Manchester, New Hampshire's ACA library: its holdings, its scholars, and its intentions. Refers also to Woonsocket, Rhode Island's Union-St-Jean-Baptiste Library. Written by a 1930s Yale scholar.","Ham, Edward B.",,,1937 November,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/479270094"">479270094</a>","1930s; New Hampshire, Rhode Island",,,,,,,,,,,,,,0149-6611,,7,Modern Language Notes,http://www.jstor.org/stable/2911680,52,,,,https://francolibrary.com/archive/files/bb020770777c8687bc4a16a48dcf86ed.jpg,Bibliography;Community: Customs and Social Life;Education;Fiction and Literature;Manchester NH;Nonfiction;Nonfiction -- History -- Clubs and Societies;Nonfiction -- History -- Local;Woonsocket RI
61,Journalism and the French Survival in New England,"Essay on the plight of Franco cultural survivance and the efforts of Franco journalists to survive the French language in New England in the early twentieth century. Written by a Franco and bicultural sympathizer in the late 1930s. Includes brief descriptions of specific Franco periodicals from throughout New England, with special emphasis on Le Travailleur (Worcester, Massachusetts).","Ham, Edward B.",,,1938 March,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/480371160"">480371160</a>","1930s; New England; Worcester, Massachusetts",,,,,,,,,,,,,,0028-4866,,#1,The New England Quarterly,http://www.jstor.org/stable/360562,11,,,,https://francolibrary.com/archive/files/14e0c7cb09d7eaab8614e42368856fda.jpg,Acculturation and Assimilation;Amesbury MA;Biddeford ME;Central Falls RI;Ethnicity and Collective Identity;Fall River MA;Fitchburg MA;Hartford CT;Haverhill MA;Holyoke MA;Journalism;Language and Linguistics;Lawrence MA;Lewiston ME;Lowell MA;Lynn MA;Manchester NH;Marlboro MA;Nashua NH;New Bedford MA;New England;Newburyport MA;Nonfiction;Nonfiction -- Journalism;Pawtucket RI;Salem MA;Sanford ME;Taunton MA;Waterbury CT;Waterville ME;Woonsocket RI;Worcester MA
62,French National Societies in New England,"Article on the early-twentieth-century establishment of Franco American social organizations, and their implications for cultural heritage preservation, or the idea of ""la survivance."" Refers to already-established social organizations in QuÃ©bec as developmental models for emigrant French Canadian and Franco American communities in New England.","Ham, Edward B.",,,1939 June,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/480378034"">480378034</a>",1900-1939; New England; QuÃ©bec,,,,,,,,,,,,,,0028-4866,,2,The New England Quarterly,http://www.jstor.org/stable/360417,12,,,,https://francolibrary.com/archive/files/be4375286e3813be42cc1b6dfea2cd51.jpg,Acadians;Acculturation and Assimilation;Boston MA;Community: Customs and Social Life;Fitchburg MA;Holyoke MA;Illinois;Maine;Malone NY;Manchester NH;Michigan;MontrÃ©al QC;New Brunswick;New Hampshire;New York;Nonfiction;Nonfiction -- History -- Clubs and Societies;Nova Scotia;Religion;Springfield MA;Vermont;Waltham MA;Woonsocket RI;Worcester MA
63,French Patterns in QuÃ©bec and New England,"Thoughts on political and cultural attitudes in QuÃ©bec with particular reference to the war effort. Ham interrogates New England French Canadian minority culture to examine more intimately the general political thought-processes of WWII-era QuÃ©bec. From the text: ""...no critic should attempt an estimate of QuÃ©bec internationalism without reference as well to the French-Canadian attitude in New England.""","Ham, Edward B.",,,1945 December,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/480410679"">480410679</a>","1930-1945, QuÃ©bec, New England",,,,,,,,,,,,,,0028-4866,,#4,The New England Quarterly,http://www.jstor.org/stable/361061,18,,,,https://francolibrary.com/archive/files/30eadf4b690d7f5c9f8d74b599d534ac.jpg,Canada;Ethnicity and Collective Identity;Fall River MA;France;Government and Politics;Lewiston ME;Lowell MA;Manchester NH;Nonfiction;Nonfiction -- Government and Politics;QuÃ©bec;War;Woonsocket RI
64,The Second Colonization of New England,"Narrative and descriptive short history of immigration to the United States between 1815 and 1914. Focuses primarily on New England, and emphasizes the presence of Irish, French Canadian, and German newcomers, the means of their arrival, and the impact of their presence.","Hansen, Marcus L.",,,1929-10,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/480337610"">480337610</a>",1815-1914; New England,,,,,,,,,,,,,,0028-4866,,4,The New England Quarterly,http://www.jstor.org/stable/359167,2,,,,https://francolibrary.com/archive/files/e5744700b9ee48fef7388a541cecbf29.jpg,Emigration and Immigration;Labor History;Mills and Mill Work;New England;Nonfiction;Nonfiction -- Immigration;Social History
65,Les grands thÃ¨mes de lâ€™histoire de la famille aux Ã‰tats-Unis,"L'auteure de ""Amoskeag,"" Tamara Hareven Ã©crit un piÃ¨ce sur les bourses d'Ã©tudes, ou un historigraphie, de la famille aux Etats-Unis. Elle la comprend cette histoire comme partie de la nouvelle histoire sociale: un mouvement acadÃ©mique du vingtiÃ¨me siÃ¨cle dont le principal motif est reconnaÃ®tre et comprendre meilleur la diversitÃ© de la vie populaire et des agents historiques.","Hareven, Tamara K.",,,1985 automne ,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/1764125"">1764125</a>",1850-1985; United States,,,,,,,,,,,,,,0035-2357,,#2,Revue d'histoire de l'AmÃ©rique franÃ§aise,http://www.erudit.org/revue/haf/1985/v39/n2/304349ar.pdf (le texte en plein),39,,,,https://francolibrary.com/archive/files/af5c06d98411d63ff823db12a5b3a5de.jpg,Canada;Chicago IL;Emigration and Immigration;England;Family;Gender and Sexuality;Labor History;Manchester NH;Massachusetts;Mills and Mill Work;New England;Nonfiction;Nonfiction -- Historiography;Nonfiction -- History -- Labor and Social;Social History
66,Kill the Devil or Marry an American : Descent and Consent among the Cajuns,"Article exploring the development of Cajun ethnic identity through its iterations in modern theatrical performance in Louisiana, in a period of apparent ethnic revival. How Cajun theatre and its use of the French language function in terms of shaping and defining Cajun identity in Louisiana, abroad, and in the dramatic arts. ","Heylen, Romy",,,1994 February,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/1238339"">1238339</a>","20th century, Louisiana",,,,,,,,,,,,,,0016-111X,,#3,The French Review,http://www.jstor.org/stable/396570,67,,,,,Acadians;Acculturation and Assimilation;Ethnicity and Collective Identity;Folklore;Language and Linguistics;Louisiana;Nonfiction;Nonfiction -- Art and Architecture;Nonfiction -- Ethnic Studies;Performing Arts;Texas;United States
67,The Structure of the Canadian French Consonant System,"Discussion of consonantal traits characteristic of Canadian French, excluding the dialectical traits of the Acadians typically heard in Northern Maine and the Maritime Provinces in Canada. Brief references to French Creole and New England Franco-American French. From the author: ""The purpose of this study is to discuss the structure of the consonant system of Canadian French, especially in its more archaic (i.e., less assimilated to the standard language) form, in order to show that a seemingly complex set of allophonic and phonemic developments, of different origins, bear witness to a single tendency toward greater economy of distinctive features in the phonological system.""","Hull, Alexander",,,1966,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/608944874"">608944874</a>",1960s; Canada,,,,,,,,,,,,,,0075-966X,,#1,La Linguistique,,2,,,,https://francolibrary.com/archive/files/b0dc8da6a52d59f90b359205e3e5282c.jpg,Canada;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics
68,Emigration of Canadians to the United States,"1923 article on emigration statistics from the whole of Canada into the United States. Complete with tables and commentary. Geographic distribution of Canadians in the United States. Sites French Canadians as ""less migratory,"" or less prone to emigrate than other Canadians.","Jackson, G.E.",,,1923-05,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/479566418"">479566418</a>",1830-1927; Canada; United States,,,,,,,,,,,,,,0002-7162,,1,The Annals of the American Academy of Political and Social Science,http://www.jstor.org/stable/1014691,107,,,,https://francolibrary.com/archive/files/a91b61e2912deb521162bde74141b73a.jpg,Alberta;British Columbia;Canada;Demography;Emigration and Immigration;Fall River MA;Geography;Government and Politics;Lowell MA;Manitoba;New Bedford MA;New Brunswick;Nonfiction;Nonfiction -- Immigration;Nova Scotia;Ontario;Prince Edward Island;QuÃ©bec;Saskatchewan;United States
