title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
Présence visible et invisible de la langue française dans la littérature franco-américaine contemporaine,"Pris de Glottopol, la revue de sociolinguistique en ligne: ""Présence invisible dans le champ des littératures francophone et ethnique américaines, la littérature franco-américaine de la Nouvelle-Angleterre, qu'elle s'exprime en français ou en anglais, est la gardienne d'une mémoire francophone, d'un patrimoine culturel et linguistique qui réfute l'oubli. Peggy Pacini analyse la place de la langue française dans quelques romans franco-américains, qui y apparaît sous différentes formes (discours métissé, forme dialectale, français littéraire) et y occupe diverses fonctions (incise, dialogue, narration, monologue). L'image de la langue française dans ces romans permet de mieux comprendre, selon l'auteure, cette dialectique du bon et du mauvais français qui est sûrement à  l'origine de la disparition de cette langue au sein de cette communauté.""...""Triès peu répertoriée, la littérature franco-américaine de la Nouvelle-Angleterre est devenue une présence invisible dans le champ des littératures francophone mais aussi ethnique américaine. Néanmoins, qu'elle s'exprime en français ou en anglais, elle est la gardienne d'une mémoire francophone, d'un patrimoine culturel et linguistique qui réfute l'oubli. Il sera donc question d'analyser la place de la langue française dans ces romans, quelle que soit la forme qu'elle prenne (discours métissé, forme dialectale, français littéraire) et la fonction qu'elle occupe (incise, dialogue, narration, monologue). Pour cela, il faudra recontextualiser l'évolution de cette langue dans ce contexte nord-américain particulier et son rapport à  l'idéologie de la survivance telle qu'elle était véhiculée par le clergé canadien français. De la même façon, l'image de la langue française dans ces romans permet de mieux comprendre cette dialectique du bon et du mauvais français qui est sûrement à  l'origine de la disparition de cette langue au sein de cette communauté.""","Pacini, Peggy",,,2007 janvier,,,,,,Article dans un revue,"<a href=""http://www.worldcat.org/oclc/643755913"">643755913</a>","20e siiècle, Nouvelle-Angleterre",,,,,,,,,,,,,,,,,Glottopol: Revue de sociolinguistique en ligne,"<div class=""element-text""><a href=""http://www.univ-rouen.fr/dyalang/glottopol/numero_9.html"">http://www.univ-rouen.fr/dyalang/glottopol/numero_9.html</a></div>",9,,,,,Criticism and Review;Emigration and Immigration;Ethnicity and Collective Identity;Holyoke MA;Language and Linguistics;Literary Works -- Criticism and History;Lowell MA;Manchester NH;New England;Providence RI;Québec;Waterville ME;Woonsocket RI,Journal Articles | Articles dans revues académiques
Tay-Sachs disease in persons of French-Canadian heritage in northern New England,"From Palomaki et al: ""This study sought to determine whether persons of French-Canadian heritage in northern New England are at high risk for the lethal infantile form of Tay-Sachs disease. In order to accomplish this, death records and laboratory diagnostic records were surveyed to ascertain Tay-Sachs deaths in a cohort of 372,000 live births between 1977-1986...""","Palomaki, G.E.;Williams, J.;Haddow, J.E.;Natowicz, M.R.",Abstract,,1995-05-08 00:00:00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/3372843"">3372843</a>","1977-1986, Northern New England",,,,,,,,,,,,,,0148-7299,,#4,American Journal of Medical Genetics,"<div class=""element-text""><a href=""http://www.ncbi.nlm.nih.gov/pubmed/7604851"">http://www.ncbi.nlm.nih.gov/pubmed/7604851</a> (full text available here)</div>",56,,,,,Health and Wellness;Illness;New England;Nonfiction;Nonfiction -- Science and Medicine;Québec;Scarborough ME,Journal Articles | Articles dans revues académiques
"L'émigration des Canadiens français vers la Nouvelle-Angleterre, 1870-1910 : prises de vue quantitatives","Du texte: ""Combien de Canadiens français ont émigré vers la Nouvelle-Angleterre? A? quel moment et suivant quel rythme? Voilà  la question de départ. Nous n'avons pas l'illusion d'apporter une réponse définitive à  cette question qui semble avoir défié les chercheurs jusqu'à  ce jour...nous voulons plutot suggérer une voie d'approche. Nous tenterons aussi d'ordonner les données statistiques disponibles et de les compléter par quelques compilations personnelles.""...""En conclusion, nous tacherons de rattacher les sources et les destinations des émigrants canadiens du Québec afin de déterminer un peu plus clairement les axes de l'exode.""","Paquet, Gilles",Text intégrale,,1964,,,,,,Journal article/article dans un revue,"<a href=""http://www.worldcat.org/oclc/61571987"">61571987</a>;<a href=""http://www.worldcat.org/oclc/797018918"">797018918</a>",1870-1910; Nouvelle-Angleterre,,,,,,,,,,,,,,0034-1282,,3,Recherches sociographiques,"<div class=""element-text""><a href=""http://id.erudit.org/iderudit/055237ar"">http://id.erudit.org/iderudit/055237ar</a> (texte intégrale)<br/></div>",5,,,,https://francolibrary.com/archive/files/cfec79debaaa178838604b8017a0beb7.jpg,Biddeford ME;Boston MA;Brewer ME;Bridgeport CT;British Columbia;Brockton MA;Brunswick ME;Burlington VT;Central Falls RI;Connecticut;Demography;Emigration and Immigration;Fairfield ME;Fall River MA;Fitchburg MA;Gardner MA;Government and Politics;Hartford CT;Holyoke MA;Leominster MA;Lewiston ME;Lowell MA;Maine;Manchester NH;Manville RI;Massachusetts;Nashua NH;New Bedford MA;New Brunswick;New England;New Hampshire;New Haven CT;New York NY;Nonfiction;Nonfiction -- Immigration;North Adams MA;Northampton MA;Nova Scotia;Ontario;Pawtucket RI;Québec;Rhode Island;Rutland VT;Saco ME;Southbridge MA;Spencer MA;Springfield MA;Taunton MA;Vermont;Waltham MA;Waterbury CT;Waterville ME;Winooski Falls VT;Woburn MA;Woonsocket RI;Worcester MA,Journal Articles | Articles dans revues académiques
"Cancer of the Colorectum in Maine, 1995-1998 : Determinants of Stage at Diagnosis in a Rural State","From Parsons and Askland: ""Despite screening for colorectal cancer, mortality in the United States remains substantial. In northern New England, little is known about predictors of stage at diagnosis, an important determinant of survival and mortality....The objective of this study was to identify predictors of late stage at diagnosis for colorectal cancer in a rural state with a predominantly white population and a large Franco-American minority... Incident cases from 1995-1998 were obtained from the Maine Cancer Registry. Individual-level variables (age, sex, race, French ethnicity by surname, and payer) and contextual/town-level variables (socioeconomic status, population density, Franco ancestry proportion, distance to health care, and weather) were modeled with multiple logistic regression for late stage....""","Parsons, Margaret A.;Askland, Kathleen D.",Abstract,,2007,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/110320679"">110320679</a>",1995-1998; Maine,,,,,,,,,,,,,,1748-0361,,#1,The Journal of Rural Health,"<div class=""element-text""><a href=""http://dx.doi.org/10.1111/j.1748-0361.2006.00064.x"">http://dx.doi.org/10.1111/j.1748-0361.2006.00064.x</a></div>",23,,,,,Ethnicity and Collective Identity;Health and Wellness;Illness;Maine;Nonfiction;Nonfiction -- Science and Medicine,Journal Articles | Articles dans revues académiques
Determinants of Prostate Cancer Stage in Northern New England : USA Franco-American Contextual Effects,"From Parsons and Askland: ""Despite screening for prostate cancer, mortality in the United States remains substantial. In northern New England, we know little about either determinants of stage at diagnosis--an important predictor of survival--or health outcomes for Franco-Americans, the region's largest ethnic minority. The objective of this investigation was to identify predictors of late prostate cancer stage in a rural, predominantly white state with a large Franco-American population. ""","Parsons, Margaret A.;Askland, Kathleen D.",Abstract,,2007-11-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/176647844"">176647844</a>",1995-1998; Maine,,,,,,,,,,,,,,0277-9536,,#10,Social Science and Medicine,"<div class=""element-text""><a href=""http://www.sciencedirect.com/science/article/B6VBF-4PC4FN2-1/2/6219e42b16b2a9d444220b4a0e234115"">http://www.sciencedirect.com/science/article/B6VBF-4PC4FN2-1/2/6219e42b16b2a9d444220b4a0e234115</a></div>",65,,,,,Ethnicity and Collective Identity;Health and Wellness;Illness;Maine;New England;Nonfiction;Nonfiction -- Science and Medicine,Journal Articles | Articles dans revues académiques
"Québec to ""Little Canada"": The Coming of the French Canadians to New England in the Nineteenth Century","Brief 1950 essay on French-Canadian migration from agriculturally-failing Québec to the New England states during the period of North American industrialization, from the Civil War and after. Also featured in Leonard Dinnerstein's ""The Aliens: A History of Ethnic Minorities in America"" (Appleton-Century-Crofts, 1970).","Podea, Iris Saunders",,,1950-09,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/480428964"">480428964</a>",1860-1950; New England; Québec,,,,,,,,,,,,,,0028-4866,,3,The New England Quarterly,"<div class=""element-text""><a href=""http://www.jstor.org/stable/361423"">http://www.jstor.org/stable/361423</a></div>",23,,,,https://francolibrary.com/archive/files/672509d1fc1c008b69c68c9df0317061.jpg,Business and Economics;Community: Customs and Social Life;Connecticut;Emigration and Immigration;Fall River MA;Farming and Agriculture;Holyoke MA;Labor History;Lawrence MA;Lewiston ME;Lowell MA;Maine;Manchester NH;Marlboro MA;Massachusetts;Mills and Mill Work;Montréal QC;New England;New Hampshire;New York;Nonfiction;Nonfiction -- Immigration;Québec;Southbridge MA;Vermont;War;West Rutland VT;Woonsocket RI;Worcester MA,Journal Articles | Articles dans revues académiques
French Canadian Immigrants in the New England Cotton Industry : A Socioeconomic Profile,"Introduction to an analysis of the French Canadian emigration/immigration period from 1900 to 1929 that, according to Ramirez, suffers from a lack of attention paid to it. Ramirez conducts his exploration through the lens of the New England cotton industry that received many of these immigrants as workers.","Ramirez, Bruno",Full text,,1983-03 (spring),,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/317511047"">317511047</a>",1900-1929; New England,,,,,,,,,,,,,,0099-2453,,,Labor/Le Travail,"<div class=""element-text""><a href=""http://www.lltjournal.ca/index.php/llt/article/view/2569/2972"">http://www.lltjournal.ca/index.php/llt/article/view/2569/2972</a> (full text)</div>",11,,,,https://francolibrary.com/archive/files/b3097317c7bc6c699cb9972c2f9db988.jpg,Canada;Demography;Emigration and Immigration;Ethnicity and Collective Identity;Farming and Agriculture;Labor History;Manchester NH;Mills and Mill Work;New England;Nonfiction;Nonfiction -- Immigration,Journal Articles | Articles dans revues académiques
Du Québec vers les États-Unis : l'étude des lieux d'origine,"Des notes de recherche sur l'immigrant ""non seulement comme historique se heurtant aux exigences de la société d'accueil au moment de son insertion, mais aussi comme individu qui quitte un lieu précis en réponse a des besoins particuliers et sous des conditions particuliers"" (409). Ramirez et Lamarre demandent donc, ""Qui étaient les immigrants?"" et puis regardent celles etudes qui examinent Québec comme lieu d'origine de beaucoup d'americain(e)s.","Ramirez, Bruno;Lamarre, Jean",Texte intégral,,1985-11 (winter),,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/1764125"">1764125</a>",1860-1930; Québec; Nouvelle-Angleterre; États-Unis,,,,,,,,,,,,,,0035-2357,,#3,Revue d'histoire de l'Amérique française,"<div class=""element-text""><a href=""http://www.erudit.org/revue/haf/1985/v38/n3/304285ar.html"">Texte intégral</a></div>",38,,,,https://francolibrary.com/archive/files/a4ff81d145b278cbf1dd450b2d9301ab.jpg,Connecticut;Criticism and Review;Emigration and Immigration;Ethnicity and Collective Identity;Fall River MA;Labor History;Manchester NH;Massachusetts;Michigan;Mills and Mill Work;New England;New York;Nonfiction;Nonfiction -- Immigration;Québec;Rhode Island,Journal Articles | Articles dans revues académiques
"From Franco-American to American : The Case of Sainte-Famille, an Assimilating Parish of Lewiston, Maine","From the author: ""While many studies have focused on the migration, settlement, and community formation of French-Canadian immigrants in the United States, we know little about the history of their Franco-American descendants in the twentieth century. Through the vehicle of the parish study, we can explore the continuing struggle between survivance and assimilation. An examination of the Sainte-Famille parish in Lewiston, Maine, sheds light on the assimilation of Franco-Americans into U.S. society over the course of the twentieth century. In particular, it highlights the role of the parish in promoting assimilation.""","Richard, Mark Paul",Full text,,1998,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/207204381"">207204381</a>","1900s; Lewiston, Maine",,,,,,,,,,,,,,0018-2257,,,Histoire sociale/Social History,"<div class=""element-text""><a href=""http://pi.library.yorku.ca/ojs/index.php/hssh/article/viewFile/4686/3880"">http://pi.library.yorku.ca/ojs/index.php/hssh/article/viewFile/4686/3880</a> (full text available here)</div>",61,,,,https://francolibrary.com/archive/files/14f01cd79e65fada2143ae9f58c3a79a.jpg,Acculturation and Assimilation;Demography;Ethnicity and Collective Identity;Government and Politics;Labor History;Language and Linguistics;Lewiston ME;Mills and Mill Work;Nonfiction;Nonfiction -- History -- Religion;Religion;Social History,Journal Articles | Articles dans revues académiques
Unhoming Francophone Studies : A House in the Middle of the Current,"Professor Rosello writes on Francophone Studies ""as a discipline...that can be imagined as a type of unhomeliness,"" characterized by a variety of conversant cultural or political forms. She argues what Francophone studies is, fluidly - cultural studies, literary studies, border studies - compared to the solid ""hexagonal"" form from which it sprung in France.","Rosello, Mireille",,,2003,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/1770272"">1770272</a>",1960-2000,,,,,,,,,,,,,,0044-0078,,#103,Yale French Studies,"<div class=""element-text""><a href=""http://www.jstor.org/stable/3182540"">http://www.jstor.org/stable/3182540</a></div>",,,,,,Algeria;Caribbean;Criticism and Review;Emigration and Immigration;Essay;Ethnicity and Collective Identity;Fiction and Literature;France;Language and Linguistics;Literary Works -- Criticism and History,Journal Articles | Articles dans revues académiques
Linguistic Change in Endangered Dialects : The Case of Alternation Between Avoir and être in Vermont French,"Linguistic study from the University of Vermont. From Cambridge University Press: ""The present study examines the pattern of the variation of the auxiliary avoir and être in the passé composé tense in Vermont French in 22 adult speakers who migrated from Québec or are first-generation Franco-Americans. The purpose of the study is to determine if the process of replacement of être by avoir in progress in Canadian French is also taking place in Vermont and which linguistic and social constraints influence this linguistic change.""","Russo, Marijke;Roberts, Julie",,,1999-03,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/425182718"">425182718</a>",1990s; Vermont,,,,,,,,,,,,,,,,#1,Language Variation and Change,"<div class=""element-text""><a href=""http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp;aid=43359"">http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp;aid=43359</a></div>",11,,,,,Barre VT;Burlington VT;Education;Essex VT;Graniteville VT;Language and Linguistics;Middlesex VT;Montpelier VT;Newfoundland;Nonfiction;Nonfiction -- Language and Linguistics;South Burlington VT;Underhill VT;Vermont;Winooski VT,Journal Articles | Articles dans revues académiques
"Exploring the Dialect of the Franco-Americans of Manchester, New Hampshire","From the authors: ""This research focuses on... the French language's influence on Franco-American English in Manchester, a city in southern New Hampshire....The questions we explore include the following: Does the Franco-American community of Manchester have its own French-influenced dialect on English? What sociolinguistic factors influence this dialect? Do speakers with stronger cultural ties to the Franco-American community produce a more French-sounding English? Can immersion in Franco-American culture have an influence on speakers who are monolingual (in English)?""","Ryback-Soucy, Wendy;Nagy, Naomi",,,2000-09-01 00:00:00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/41551927"">41551927</a>","2000; Manchester, New Hampshire",,,,,,,,,,,,,,1552-5457,,#3,Journal of English Linguistics,"<div class=""element-text""><a href=""http://eng.sagepub.com/content/28/3/249.extract"">http://eng.sagepub.com/content/28/3/249.extract</a></div>",28,,,,,Acculturation and Assimilation;Community: Customs and Social Life;Ethnicity and Collective Identity;Language and Linguistics;Manchester NH;Nonfiction;Nonfiction -- Language and Linguistics,Journal Articles | Articles dans revues académiques
"The Politics of Default : Financial Restructure and Reform in Depression Era Fall River, Massachusetts",Brief essay on the Depression-era local economics of the highly industrialized and densely populated Massachusetts town of Fall River. Governmental maneuverings and business restructuring in response to the great 1930s economic downturn.,"Scherzer, Kenneth A.",,,1989 February,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/360758768"">360758768</a>","1929-1950; Fall River, Massachusetts",,,,,,,,,,,,,,0042-0980,,1,Urban Studies,"<div class=""element-text""><a href=""http://usj.sagepub.com/content/26/1/164.citation"">http://usj.sagepub.com/content/26/1/164.citation</a></div>",26,,,,https://francolibrary.com/archive/files/a850a77a15726f6cd079331ee6ffa3cd.jpg,Business and Economics;Fall River MA;Government and Politics;Labor History;Massachusetts;Mills and Mill Work;Nonfiction;Nonfiction -- Government and Politics;Nonfiction -- History -- Economic and Industrial,Journal Articles | Articles dans revues académiques
Some Specimens of a Canadian French Dialect Spoken in Maine,"A short explanation of notes taken on the linguistic properties of one Waterville and another Cornville, Maine, Franco-American's French language tendencies in the late nineteenth century.  Historical measure of the MLA's concern with Canadian French in America before the turn of the century, and an early dissection of local French by a linguist attracted to the structures and tones common to Central Maine French speech.","Sheldon, Edward S.",Full text (pp.210-218),,1888,,en; fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/1247683"">1247683</a>",1880s; central Maine,,,,,,,,,,,,,,,,,Transactions and Proceedings of the Modern Language Association of America,"<div class=""element-text""><a href=""http://books.google.com/books?id=SHcxAQAAMAAJ"">Transactions and Proceedings of the Modern Language Association of America</a> @ Google Books</div>;<div class=""element-text""><a href=""http://www.jstor.org/stable/456024"">http://www.jstor.org/stable/456024</a></div>",3,,,,,Cornville ME;Ethnicity and Collective Identity;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics;Skowhegan ME;Waterville ME,Journal Articles | Articles dans revues académiques
"Review: CASANOVA, JACQUES-DONAT, avec ARMOUR LANDRY. Une Amerique française.","Un revue critique du texte ""Une Amérique française"" - une histoire de l'heritage française à  l'Amérique du Nord de la période de la guerre d'Indépendance jusqu'au présent.","Stewart, Philip",,,1976 May,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/481390284"">481390284</a>","1600-1950, Amérique du Nord",,,,,,,,,,,,,,0016-111X,,#6,The French Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/389317"">http://www.jstor.org/stable/389317</a></div>",49,,,,,Canada;Criticism and Review;Emigration and Immigration;Ethnicity and Collective Identity;United States,Journal Articles | Articles dans revues académiques
"""Parfois le bon mot nous échappe"" : Interference Phenomena Among Franco-Americans in Massachusetts","Essay on linguistic phenomena -- ""code-switching,"" ""tag-switching,"" or other culturally indicative lingual breaks -- in Franco-American bilingual speech patterns found in Massachusetts. Includes a discussion of some common speech characteristics of Francophone Canada, as well.","Szelezak, Edith",Full text,,2007-01,,en; fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/163640790"">163640790</a>",21st century; Massachusetts; New Brunswick; Nova Scotia; Québec,,,,,,,,,,,,,,,,,Glottopol: Revue de sociolinguistique en ligne,"<div class=""element-text""><a href=""https://www.univ-rouen.fr/dyalang/glottopol/telecharger/numero_9/gpl9_07szlezak.pdf"">https://www.univ-rouen.fr/dyalang/glottopol/telecharger/numero_9/gpl9_07szlezak.pdf</a> (full text available here)</div>",9,,,,,Acculturation and Assimilation;Emigration and Immigration;Language and Linguistics;Massachusetts;New Brunswick;New England;Nonfiction;Nonfiction -- Language and Linguistics;Nova Scotia;Québec,Journal Articles | Articles dans revues académiques
"The Family Networks and Geographic Mobility of French Canadian Immigrants in Early-Twentieth-Century Lowell, Massachusetts","From the author: ""This study analyzes complex patterns of French Canadian immigrants' geographic mobility in their process of immigration to Lowell, Massachusetts, from 1900 to 1920. There has been relatively little systematic analysis of roles of family and kin in the process of migration.... This article addresses this gap and sheds light on a more complex and gender-specific perspective of French Canadian immigrants' southward movements by examining several issues of the migratory process including the geographic itineraries, occupational experiences, and migratory networks of French Canadian immigrants.""","Takai, Yukari",,,2001-07,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/360452963"">360452963</a>","1900-1920; Lowell, Massachusetts",,,,,,,,,,,,,,0363-1990,,#3,Journal of Family History,"<div class=""element-text""><a href=""http://jfh.sagepub.com/content/26/3/373.abstract"">http://jfh.sagepub.com/content/26/3/373.abstract</a></div>",,,,,https://francolibrary.com/archive/files/7d7a8660904ae544e831e1d8fa29e2d8.jpg,Business and Economics;Community: Customs and Social Life;Emigration and Immigration;Family;Gender and Sexuality;Geography;Lowell MA;Nonfiction;Nonfiction -- Immigration,Journal Articles | Articles dans revues académiques
"Review: ""Franco-Amérique,"" and ""Loyal but French: The Negotiation of Identity by French-Canadian Descendants in the United States""","Review of two 2008 history texts on French America: ""Franco-Amérique,"" by Dean Louder and Eric Waddell, and ""Loyal but French: The Negotiation of Identity by French-Canadian Descendants in the United States,"" by Mark Paul Richard.","Takai, Yukari",,,2010,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/636583583"">636583583</a>",2008; North America,,,,,,,,,,,,,,0008-3755,,#2,The Canadian Historical Review,"<div class=""element-text""><a href=""http://www.utpjournals.com/chr/chr.html"">http://www.utpjournals.com/chr/chr.html</a></div>",91,,,,,Acadians;Acculturation and Assimilation;Alberta;Criticism and Review;Emigration and Immigration;Ethnicity and Collective Identity;Exploration and Colonization;Florida;Government and Politics;Illinois;Lewiston ME;Louisiana;Maine;Manitoba;Michigan;Minnesota;Missouri;Native Americans;New England;Nonfiction;Nonfiction -- French in North America;Nonfiction -- Geography;Nonfiction -- History -- Labor and Social;North Dakota;Nova Scotia;Ontario;Québec,Journal Articles | Articles dans revues académiques
The French Parish and Survivance in Nineteenth-Century New England,"The role of the Roman Catholic parish in the development and preservation of French-Canadian immigrant communities in New England. From the author: ""...this discussion of the religious aspects of [French-Canadian] immigration will be centered upon the parish, and upon the three-fold concept of preservation of religion, language, and customs which is contained for French Canadians in the word 'survivance.' The first half of the century, which might be called the dark ages of the French Canadians in New England, will be passed over rather rapidly, in order to do fuller justice to the more significant mission period from 1850 to 1868, and to the period of expansion and conflict from 1869 to 1900.""","Wade, Mason",,,1950-07,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/482507805"">482507805</a>",1850-1900; New England,,,,,,,,,,,,,,0008-8080,,2,The Catholic Historical Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/25015156"">http://www.jstor.org/stable/25015156</a></div>",36,,,,https://francolibrary.com/archive/files/0d2e666ad54713e1aa4a0ec3b6c7f506.jpg,Ashuelot NH;Berlin NH;Biddeford ME;Boston MA;Brookfield NH;Burlington VT;Central Falls RI;Colebrook NH;Community: Customs and Social Life;Fall River MA;Fitchburg MA;Gardner MA;Government and Politics;Grafton MA;Haverhill MA;Holyoke MA;Labor History;Lawrence MA;Lewiston ME;Littleton NH;Lowell MA;Lynn MA;Madawaska ME;Maine;Manchester NH;Mills and Mill Work;Montréal QC;Nashua NH;New Braintree MA;New England;New Hampshire;Nonfiction;Nonfiction -- History -- Religion;North Adams MA;Oxford NH;Pawtucket RI;Pittsfield MA;Providence RI;Putnam CT;Québec;Religion;Rhode Island;Rochester NH;Rutland VT;Salem MA;Southbridge MA;Spencer MA;Springfield MA;St. Albans VT;Suncook NH;Swanton VT;Taunton MA;Van Buren ME;Vermont;Warren NH;Waterbury CT;Waterville ME;Willimantic CT;Winooski VT;Woonsocket RI;Worcester MA,Journal Articles | Articles dans revues académiques
"Religion et ethnicité franco-américaines en Nouvelle-Angleterre, 1860-1930","De Weil: ""A? travers le cas mal connu des Franco-Américains, ces Canadiens français catholiques qui quittièrent le Québec pour la Nouvelle-Angleterre à  partir des années 1860, l'Auteur entend montrer la place de la religion dans l'expérience ethnique de la transplantation. Apriès avoir rappelé la situation québécoise et le poids d'une Église catholique, romaine, conservatrice et nationaliste, vouée à  la cause de la préservation d'une société catholique, française et rurale, il montre que, transplantée en Nouvelle Angleterre, cette religion ethnique eut néanmoins une fonction et conservatrice et modernisatrice...""","Weil, François",,,1993-10,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/290783907"">290783907</a>",1860-1930; Nouvelle-Angleterre,,,,,,,,,,,,,,0335-5985,,#84,Archives de sciences sociales des religions,"<div class=""element-text""><a href=""http://www.jstor.org/stable/30127248"">http://www.jstor.org/stable/30127248</a></div>",38,,,,https://francolibrary.com/archive/files/00580a3a944cdb7294a916b31578c923.jpg,Acculturation and Assimilation;Community: Customs and Social Life;Emigration and Immigration;Ethnicity and Collective Identity;Fitchburg MA;Haverhill MA;Holyoke MA;Manchester NH;New England;Nonfiction;Nonfiction -- History -- Religion;Providence RI;Québec;Religion;Woonsocket RI,Journal Articles | Articles dans revues académiques
Canadians in the United States,"Brief 1913 review of what the author calls ""the great Canadian exodus"" - the period from 1850 to 1900 when nearly 1.8 million English and French Canadians emigrated to the United States.","Wickett, S. Morley",,,1913-01,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/486783228"">486783228</a>",1850-1900; Canada; United States,,,,,,,,,,,,,,0032-3195,,#1,The Annals of the American Academy of Political and Social Science,"<div class=""element-text""><a href=""http://www.jstor.org/stable/1012635"">http://www.jstor.org/stable/1012635</a></div>",45,,,,https://francolibrary.com/archive/files/f4aa5eeb44bc94c100a584a4f4cb15f9.jpg,Boston MA;Buffalo NY;Business and Economics;Cambridge MA;Canada;Chicago IL;Cincinnatti OH;Cleveland OH;Demography;Detroit MI;Emigration and Immigration;Fall River MA;Family;Geography;Germany;Great Britain;Holyoke MA;Ireland;Jersey City NJ;Lawrence MA;Louisville KY;Lowell MA;Manchester NH;Milwaukee WI;Minneapolis MN;New Bedford MA;New Haven CT;New Orleans LA;New York NY;Newark NJ;Newfoundland;Nonfiction;Nonfiction -- Immigration;Paterson NJ;Philadelphia PA;Pittsburgh PA;Providence RI;Rochester NY;San Francisco CA;St. Louis MO;St. Paul MN;United States;Washington DC;Worcester MA,Journal Articles | Articles dans revues académiques
An Incident Between the French Canadians and the Irish in the Diocese of Maine in 1906,"An essay on the reactions of Franco American journalists and national societies to the naming of an Irish successor to the Maine Roman Catholic diocese's bishopric in 1906. Lewiston, Maine's ""Le Messager"" extended its criticisms to the Holy See and the whole of Church hierarchy. This drawn-out event is couched here in a brief description of Catholic demographics around that period in the state of Maine, with accompanying definitions of what were called ""national"" churches versus what are now labeled ""territorial"" parish churches.","Woodbury, Kenneth B., Jr.",,,1967-06,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/480490583"">480490583</a>",1900-1910; Maine,,,,,,,,,,,,,,0028-4866,,2,The New England Quarterly,"<div class=""element-text""><a href=""http://www.jstor.org/stable/363771"">http://www.jstor.org/stable/363771</a></div>",40,,,,https://francolibrary.com/archive/files/ed12cf482f72ebc98e29d5778264c1e6.jpg,Acculturation and Assimilation;Bangor ME;Bath ME;Biddeford ME;Connecticut;Eagle Lake ME;Ethnicity and Collective Identity;Fall River MA;Jewett City CT;Language and Linguistics;Lewiston ME;Nonfiction;Nonfiction -- History -- Religion;Old Town ME;Portland ME;Putnam CT;Religion;Violence;Waterville ME;Westbrook ME,Journal Articles | Articles dans revues académiques
"The New England League: A Baseball History, 1885-1949 (review)",Review of Charlie Bevis' 2008 history of the New England League - a minor baseball league that entertained the US Northeast for decades around the turn of the century.,"Akin, William E.",Preview,,2009,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/45629425"">45629425</a>",1885-1949; New England,,,,,,,,,,,,,,1534-1844,,2,NINE: A Journal of Baseball History and Culture,"<div class=""element-text""><a href=""http://muse.jhu.edu/journals/nine/summary/v017/17.2.akin.html"">http://muse.jhu.edu/journals/nine/summary/v017/17.2.akin.html</a></div>",17,,,,,Boston MA;Business and Economics;Government and Politics;Lynn MA;Nashua NH;New England;Nonfiction;Nonfiction -- History -- Labor and Social;Nonfiction -- Sports;Social History;Sports and Leisure;War,Journal Articles | Articles dans revues académiques
